County,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Alabama-Autauga,0.9999974966049194,1.54774312477457e-07,1.0316624354800297e-07,1.8404705315333558e-07,1.9235631043557078e-07,1.3550888411373307e-07,1.4098382905558537e-07,1.6271242486709525e-07,1.775408549065105e-07,1.9981395382728806e-07,3.4886576827375393e-07,1.0650525439359626e-07,2.696846763683425e-07,1.94108068285459e-07,1.394210613625546e-07
Alabama-Baldwin,0.9999974966049194,1.552452886244282e-07,1.0349419454769304e-07,1.8462647233263851e-07,1.9294073183573346e-07,1.3589504987976397e-07,1.4140475457224966e-07,1.6319869189374003e-07,1.7806260643737915e-07,2.0038339698658092e-07,3.4986433661288174e-07,1.0682160933583873e-07,2.704983614876255e-07,1.946443433098466e-07,1.3987279601224145e-07
Alabama-Barbour,0.9999973773956299,1.5912972628484567e-07,1.062167669374503e-07,1.902130151165693e-07,1.9733448652914376e-07,1.3834120693445584e-07,1.442840726895156e-07,1.6640461808492546e-07,1.8226955944555812e-07,2.0472782580327475e-07,3.55011053443377e-07,1.093610606517359e-07,2.779029841804004e-07,1.9815840346382174e-07,1.434119951682078e-07
Alabama-Bibb,0.9999973773956299,1.5970761069183936e-07,1.0683688600465757e-07,1.9052183120038535e-07,1.991321454397621e-07,1.4028184125436383e-07,1.458889471450675e-07,1.6835313942920038e-07,1.83643606987971e-07,2.0641482478822581e-07,3.592646748984407e-07,1.1031364266500532e-07,2.79605671948957e-07,2.007444805940395e-07,1.4400693260085973e-07
Alabama-Blount,0.9999973773956299,1.6710291106392106e-07,1.116748862273198e-07,1.986863509273462e-07,2.0810915657420992e-07,1.471479293968514e-07,1.5284176413388195e-07,1.763244057428892e-07,1.9206684953587683e-07,2.1634974700646126e-07,3.758639479656267e-07,1.1577143510521637e-07,2.916219727921998e-07,2.1070329125905118e-07,1.5071171333147504e-07
Alabama-Bullock,0.9999973773956299,1.619956719878246e-07,1.0834084207544947e-07,1.931909281438493e-07,2.0185332516575727e-07,1.4239383006042772e-07,1.4804399484091846e-07,1.7076490621548146e-07,1.8630319686963048e-07,2.0961358870863478e-07,3.6411333326213935e-07,1.1204698324718265e-07,2.835874397533189e-07,2.0384742072110384e-07,1.460792731222682e-07
Alabama-Butler,0.9999973773956299,1.5912972628484567e-07,1.062167669374503e-07,1.902130151165693e-07,1.9733448652914376e-07,1.3834120693445584e-07,1.442840726895156e-07,1.6640461808492546e-07,1.8226955944555812e-07,2.0472782580327475e-07,3.55011053443377e-07,1.093610606517359e-07,2.779029841804004e-07,1.9815840346382174e-07,1.434119951682078e-07
Alabama-Calhoun,0.9999974966049194,1.5391968588573945e-07,1.025783831209992e-07,1.8294458925538493e-07,1.9138430218390567e-07,1.3486683769770025e-07,1.402118954274556e-07,1.618648894918806e-07,1.765231445460813e-07,1.9869945333539363e-07,3.4731849041236273e-07,1.0589837984298356e-07,2.6805872721524793e-07,1.9317235455673654e-07,1.3865016512681905e-07
Alabama-Chambers,0.9999973773956299,1.5912972628484567e-07,1.062167669374503e-07,1.902130151165693e-07,1.9733448652914376e-07,1.3834120693445584e-07,1.442840726895156e-07,1.6640461808492546e-07,1.8226955944555812e-07,2.0472782580327475e-07,3.55011053443377e-07,1.093610606517359e-07,2.779029841804004e-07,1.9815840346382174e-07,1.434119951682078e-07
Alabama-Cherokee,0.9999973773956299,1.6710291106392106e-07,1.116748862273198e-07,1.986863509273462e-07,2.0810915657420992e-07,1.471479293968514e-07,1.5284176413388195e-07,1.763244057428892e-07,1.9206684953587683e-07,2.1634974700646126e-07,3.758639479656267e-07,1.1577143510521637e-07,2.916219727921998e-07,2.1070329125905118e-07,1.5071171333147504e-07
Alabama-Chilton,0.9999973773956299,1.6687199888565374e-07,1.1170855174214012e-07,1.9937461104291287e-07,2.076490233093864e-07,1.4634713352279505e-07,1.52375164930163e-07,1.756979770561884e-07,1.919518552995214e-07,2.158464837975771e-07,3.7330906366150884e-07,1.1548968359420542e-07,2.924591910868912e-07,2.0945232392932667e-07,1.5056819790970621e-07
